sample,SA,MV,N,T,CO2ad
U/PC-0.5,2067,0.71,0.63,273,6.57
U/PC-1,1703,0.57,0.81,273,5.6
U/PC-2,775,0.25,1.37,273,3.7
U/PC-3,404,0.12,3.21,273,2.59
T-GU-700-4,731,0.29,4.42,273,1.8
T-GU-700-6,1032,0.61,2.59,273,3.24
T-GU-700-8,1264,0.67,2.03,273,1.93
T-GU-750-6,1089,0.71,1.94,273,2.15
T-G-700-6,1296,0.75,0.86,273,2.52
GU-700-6,360,0.15,1.32,273,1.43
PC-550-1,855,0.31,13.05,273,4.19
PC-550-2,1338,0.49,11.32,273,5.03
PC-550-3,1655,0.63,9.84,273,5.61
PC-600-1,1980,0.76,7.38,273,6.01
PC-600-2,2362,1.02,6.21,273,6.37
PC-600-3,2430,1.16,5.36,273,5.23
PC-650-1,2406,1.08,3.89,273,5.76
PC-650-2,2672,1.31,3.04,273,5.1
PC-650-3,2644,1.32,2.65,273,5.47
PC-700-1,2112,0.92,2.83,273,5.72
PC-700-2,2747,1.19,2.36,273,4.94
PC-700-3,2436,1.15,1.84,273,4.52
R,536,0.2,1.05,273,3.71
RNK-550-1,1097,0.4,1.77,273,6.7
RNK-550-2,1482,0.56,1.41,273,6.73
RNK-550-3,2023,0.75,1.32,273,7.39
RNK-600-1,1310,0.49,1.54,273,6.8
RNK-600-2,1802,0.7,1.36,273,7.22
RNK-600-3,2200,0.83,1.29,273,7.47
RNK-650-1,1450,0.55,1.37,273,6.68
RNK-650-2,1875,0.81,1.29,273,6.8
RNK-650-3,2374,0.93,1.2,273,6.92
RUK-550-2,1099,0.44,2.74,273,5.71
CS-650-1/2,1023,0.39,6.75,273,5.55
CS-650-2/3,904,0.34,6.28,273,5.03
CS-650-1/1,1028,0.39,5.98,273,5.17
CS-700-1/2,1428,0.55,4.32,273,6.22
CS-700-2/3,1506,0.58,3.49,273,6.91
CS-700-1/1,1548,0.62,3.07,273,6.37
CS-750-1/2,1811,0.75,2.26,273,6.64
CS-750-2/3,1771,0.72,2.01,273,6.9
CS-750-1/1,1854,0.79,1.72,273,6.14
CMPA1-C1000,977,0.37,1.6,273,4.3
CMPA2-C1000,292,0.15,2.1,273,4.8
CMPA3-C1000,800,0.32,2.1,273,5.1
GMC-Md/g-40-800,784,0.01,15.7,273,3.2
GMC-Md/g-20-800,692,0.01,15.1,273,2.97
GMC-Mm/g-40-800,501,0.02,21.8,273,1.78
GMC-Mm/g-40-700,404,0.02,22.3,273,3.43
WSC-400-1,669,0.25,3.05,273,4.06
WSC-400-2,1450,0.52,3.26,273,5.34
WSC-400-3,1310,0.53,3.58,273,4.57
WSC-450-1,1036,0.39,2.73,273,5.44
WSC-450-2,2412,1.02,3.14,273,6.04
WSC-450-3,2596,1.23,3.35,273,5.46
WSC-500-1,1416,0.53,2.42,273,6.04
WSC-500-2,2615,1.21,2.68,273,5.39
WSC-500-3,2446,1.36,3.12,273,4.91
CEM700,2878,0.77,3.7,273,5.61
CEM750,3360,1.24,5.2,273,6.92
CEM800,2762,0.99,7.6,273,4.84
RFC,724,0.31,1.61,273,3.81
RFC_C45,1611,0.83,1.55,273,6.86
RFC_C120,2842,1.26,1.34,273,5.59
RFC_N10,1458,0.76,2.83,273,7.14
PFC,743,0.38,1.46,273,4.55
PFC_C45,1588,0.81,1.29,273,6.77
PFC_C120,3283,1.45,0.81,273,5.77
MPA-1,30,0.00003,42.4,273,1.75
MPA-1-600,188.4,0.0041,29.7,273,2.77
MPA-1-700,225.8,0.0042,21,273,3.24
MPA-2,33.5,0.0003,30.1,273,0.98
MPA-2-600,99.7,0.0018,29.1,273,2.26
MPA-2-700,403.9,0.002,26.2,273,4.23
AC,2095,0.0278,0.1,273,2.52
MNSC,32,0.01,0.89,273,2.16
MNSM-650-1,959,0.37,5.71,273,5.25
MNSM-650-2,1073,0.39,4.56,273,5.52
MNSM-650-3,1177,0.39,3.13,273,6
MNSM-700-1,1230,0.47,3.57,273,5.95
MNSM-700-2,1604,0.61,2.62,273,6.61
MNSM-700-3,1517,0.57,2.34,273,6.45
MNSM-750-1,1609,0.58,3.01,273,6.32
MNSM-750-2,1731,0.65,2.01,273,6.43
MNSM-750-3,1730,0.67,1.6,273,6.27
GA-550,778,0.3,5.5,273,4.9
GA-600,962,0.36,5.3,273,6.4
GA-650,1229,0.43,3.3,273,5.8
GA-700,1513,0.5,3.1,273,5.5
N1N40X50,533,0.18,6,273,2.57
