sample,SA,N,T,CO2ad
U/PC-0.5,2067,0.63,298,4.25
U/PC-1,1703,0.81,298,3.64
U/PC-2,775,1.37,298,2.72
U/PC-3,404,3.21,298,2
GU,12,6.52,298,0.13
T-GU,63,12.94,298,0.46
T-GU-700-4,731,4.42,298,1.04
T-GU-700-6,1032,2.59,298,2.4
T-GU-700-8,1264,2.03,298,1.6
T-GU-750-6,1089,1.94,298,1.64
T-G-700-6,1296,0.86,298,1.97
GU-700-6,360,1.32,298,0.95
PC-550-1,855,13.05,298,3.33
PC-550-2,1338,11.32,298,3.57
PC-550-3,1655,9.84,298,3.77
PC-600-1,1980,7.38,298,3.95
PC-600-2,2362,6.21,298,3.74
PC-600-3,2430,5.36,298,3.51
PC-650-1,2406,3.89,298,3.54
PC-650-2,2672,3.04,298,3.16
PC-650-3,2644,2.65,298,3.15
PC-700-1,2112,2.83,298,3.02
PC-700-2,2747,2.36,298,3.46
PC-700-3,2436,1.84,298,3.23
R,536,1.05,298,2.82
RN,2,3.96,298,2.17
RNK-550-1,1097,1.77,298,4.55
RNK-550-2,1482,1.41,298,5.01
RNK-550-3,2023,1.32,298,4.82
RNK-600-1,1310,1.54,298,4.77
RNK-600-2,1802,1.36,298,4.54
RNK-600-3,2200,1.29,298,4.4
RNK-650-1,1450,1.37,298,4.3
RNK-650-2,1875,1.29,298,4.11
RNK-650-3,2374,1.2,298,3.92
RUK-550-2,1099,2.74,298,3.81
CS-650-1/2,1023,6.75,298,4.15
CS-650-2/3,904,6.28,298,3.56
CS-650-1/1,1028,5.98,298,3.85
CS-700-1/2,1428,4.32,298,4.08
CS-700-2/3,1506,3.49,298,4.4
CS-700-1/1,1548,3.07,298,4.06
CS-750-1/2,1811,2.26,298,4.04
CS-750-2/3,1771,2.01,298,4.21
CS-750-1/1,1854,1.72,298,3.8
N-MC-10,557,5.57,298,3.39
N-MC-3,843,2.61,298,3.63
GMC-Md/g-40-800,784,15.7,298,2.79
GMC-Md/g-20-800,692,15.1,298,2.31
GMC-Mm/g-40-800,501,21.8,298,1.43
GMC-Mm/g-40-700,404,22.3,298,2.67
RC,3.5,0.64,298,1.66
UC-15,32,3.81,298,1.94
UC-5-2-600,851,0.825,298,4.52
UC-10-2-600,927,1.76,298,4.6
UC-15-1-600,380,3.34,298,3.52
UC-15-2-500,568,2.75,298,3.59
UC-15-2-600,1113,1.98,298,4.8
UC-15-2-700,1269,1.08,298,4.72
UC-15-2-800,1381,0.58,298,4.32
UC-15-3-600,1651,0.59,298,4.27
UC-15-4-600,1947,0.6,298,3.88
UC-20-2-600,1024,1.977,298,4.76
UC-25-2-600,945,1.99,298,4.71
WSC-400-1,669,3.05,298,3.29
WSC-400-2,1450,3.26,298,3.63
WSC-400-3,1310,3.58,298,3.18
WSC-450-1,1036,2.73,298,4.06
WSC-450-2,2412,3.14,298,4.04
WSC-450-3,2596,3.35,298,3.59
WSC-500-1,1416,2.42,298,4.5
WSC-500-2,2615,2.68,298,3.6
WSC-500-3,2446,3.12,298,3.39
PAN-CNFs,25,12.52,298,1.98
1.2PAN/0.6PVP-CNFs,309,10.95,298,2.09
1.0PAN/0.8PVP-CNFs,349,10.55,298,2.3
0.8PAN/1.0PVP-CNFs,410,10.32,298,2.5
1.2PAN/0.6PEG-CNFs,484,9.71,298,2.2
CEM700,2878,3.7,298,3.86
CEM750,3360,5.2,298,4.38
CEM800,2762,7.6,298,3.18
RFC,724,1.61,298,2.82
RFC_C45,1611,1.55,298,4.41
RFC_C120,2842,1.34,298,3.32
RFC_N10,1458,2.83,298,4.54
PFC,743,1.46,298,3.18
PFC_C45,1588,1.29,298,4.27
PFC_C120,3283,0.81,298,3.32
MPA-1-700,225.8,21,298,2.5
AC,2095,0.1,298,1.93
MNSC,32,0.89,298,1.57
MNSM,6,10.77,298,1.09
MNSM-650-1,959,5.71,298,3.76
MNSM-650-2,1073,4.56,298,3.98
MNSM-650-3,1177,3.13,298,4.26
MNSM-700-1,1230,3.57,298,4.12
MNSM-700-2,1604,2.62,298,4.35
MNSM-700-3,1517,2.34,298,4.17
MNSM-750-1,1609,3.01,298,4.09
MNSM-750-2,1731,2.01,298,4.07
MNSM-750-3,1730,1.6,298,3.99
A-NCs-600,1529,5.38,298,2
A-NCs-700,2209,4.54,298,3.1
A-NCs-800,3260,2.71,298,4.3
A-NCs-900,2734,1.47,298,3.6
GA-550,778,5.5,298,3.4
GA-600,962,5.3,298,4.5
GA-650,1229,3.3,298,3.7
GA-700,1513,3.1,298,3.4
N1N40X50,533,6,298,1.99
N2.3N360F30,700,4.3,298,2.14
N0.8A80F50,747,4.8,298,2.27
N2.38A360F30,355,3.4,298,2.02
MFC-600-0.1,278,16.07,298,2.02
MFC-600-0.2,895,14.51,298,2.74
MFC-650-0.1,435,15.23,298,2.06
MFC-650-0.2,1070,13.97,298,2.86
MFC-700-0.1,768,14.72,298,2.88
MFC-700-0.2,1658,13.38,298,3.3
MFC-750-0.1,554,11.64,298,2.54
MFC-750-0.2,1373,9.67,298,2.47
MFRC-550-1,546,18.34,298,2.61
MFRC-550-2,746,13.03,298,2.67
MFRC-550-3,617,10.34,298,2.58
MFRC-600-1,596,14.02,298,2.86
MFRC-600-2,694,10.07,298,2.64
MFRC-600-3,743,8.16,298,2.54
MFRC-650-1,1591,10.14,298,3.52
MFRC-650-2,1525,7.53,298,3.1
MFRC-650-3,1476,6.43,298,2.9
C,21,0.26,298,1.5
NC-600-2,1023,1.35,298,4.1
NC-600-3,1383,1.08,298,4
NC-600-4,1604,0.81,298,4.3
NC-650-2,1178,1.23,298,4.1
NC-650-3,1535,0.91,298,4.8
NC-650-4,1687,0.7,298,4.3
NC-700-2,1550,0.86,298,4.1
NC-700-3,1596,0.73,298,4.7
NC-700-4,1937,0.61,298,4.4
C-650-3,1513,0.23,298,3.7
C-650-3-N,1012,8.01,298,3
UFC-550-2,760,17.25,298,3.04
UFC-550-3,873,15.08,298,3.4
UFC-550-4,649,12.04,298,2.79
UFC-600-2,1254,11.74,298,3.23
UFC-600-3,1686,9.87,298,3.53
UFC-600-4,1246,8.86,298,3.21
UFC-650-2,2244,8.47,298,3.09
UFC-650-3,2023,7.51,298,2.83
UFC-650-4,1651,6.32,298,2.82
UFK-550-0.1,8,23.51,298,1.67
UFK-550-0.2,474,22.42,298,2.31
UFK-550-0.3,688,20.34,298,2.64
UFK-600-0.1,388,21.32,298,2.31
UFK-600-0.2,865,19.69,298,2.82
UFK-600-0.3,895,18.32,298,2.78
UFK-650-0.1,662,19.34,298,2.7
UFK-650-0.2,980,18.2,298,2.67
UFK-650-0.3,950,16.85,298,2.71
LC,4,1.55,298,1
LC-450-1,792,3.53,298,3.24
LC-450-2,1651,3.85,298,3.33
LC-450-3,1557,4.27,298,2.67
LC-500-1,833,3.24,298,3.38
LC-500-2,1924,3.64,298,3.22
LC-500-3,1667,4.04,298,3.04
LC-550-1,1087,2.55,298,3.5
LC-550-2,1883,3.04,298,2.21
LC-550-3,1311,3.65,298,2.44
GC,20,0.54,298,0.64
NGC,65,20.66,298,1.82
NGC-600-2,933,12.27,298,3.43
NGC-600-3,1005,12.21,298,3.46
NGC-600-4,1170,11.81,298,3.74
NGC-650-2,1754,10.51,298,3.69
NGC-650-3,1699,9.54,298,3.65
NGC-650-4,1824,7.74,298,3.92
NGC-700-2,2572,6.57,298,3.75
NGC-700-3,2510,5.03,298,3.56
NGC-700-4,2827,4.69,298,3.61
GC-650-4,1020,0.32,298,3.66
HSC,93,1.22,298,1.56
HSM,4.4,16.89,298,1.1
HSM-550-1,1118,4.94,298,3.97
HSM-550-2,1696,4.32,298,4.23
HSM-550-3,1354,3.88,298,4.16
HSM-600-1,1523,3.68,298,3.87
HSM-600-2,2319,3.27,298,3.67
HSM-600-3,2195,2.47,298,3.31
HSM-650-1,1661,2.53,298,3.79
HSM-650-2,2178,1.89,298,3.35
HSM-650-3,2054,1.33,298,3.28
EN-400-1,710,2.71,298,1.93
EN-400-2,1270,2.8,298,2.73
EN-400-3,1010,3.01,298,2.7
EN-450-1,1100,2.27,298,2.96
EN-450-2,1920,2.62,298,3.14
EN-450-3,1530,2.96,298,2.69
EN-500-1,770,1.52,298,2.38
EN-500-2,2270,1.78,298,2.78
EN-500-3,1290,1.94,298,2.32
WSC,22,1.03,298,1.56
WSM,5,16.61,298,1.02
WSM-500-1,759,8.48,298,3.51
WSM-500-2,1275,7.26,298,4
WSM-500-3,1601,4.36,298,4.05
WSM-550-1,1131,7.15,298,3.97
WSM-550-2,1535,4.9,298,4.22
WSM-550-3,2129,4.01,298,4.06
WSM-600-1,1391,4.63,298,3.64
WSM-600-2,2194,3.78,298,3.73
WSM-600-3,2384,2.76,298,3.62
WSM-650-1,1649,3.81,298,3.86
WSM-650-2,2164,3.02,298,3.3
WSM-650-3,2171,2.63,298,3
HSC,93,1.22,298,1.56
HSC-500-1,502,2.74,298,2.24
HSC-500-2,1991,2.94,298,3.73
HSC-500-3,1833,3.21,298,3.39
HSC-550-1,1099,2.53,298,4.32
HSC-550-2,1821,2.75,298,3.5
HSC-550-3,2185,2.97,298,3.48
HSC-600-1,1343,1.98,298,3.94
HSC-600-2,2318,2.14,298,3.52
HSC-600-3,2321,2.3,298,3.38
P30,880,7.36,298,2.94
P50,787,7.88,298,2.99
P80,891,8.05,298,2.98
LSC-400-1,848,3.77,298,3.39
LSC-400-2,1164,4.01,298,3.67
LSC-400-3,1087,4.5,298,3.22
LSC-450-1,1105,3.21,298,3.69
LSC-450-2,2053,3.64,298,3.47
LSC-450-3,1921,4.03,298,3.12
LSC-500-1,1113,2.61,298,3.88
LSC-500-2,2264,3.08,298,3.51
LSC-500-3,1824,3.45,298,3.45
R,536,1.05,298,2.82
RN-400-1,735,2.72,298,3.32
RN-400-2,936,4.56,298,4.12
RN-400-3,1115,5.36,298,4.14
RN-400-4,1003,6.05,298,3.83
RN-450-1,787,1.56,298,3.86
RN-450-2,1088,3.9,298,4.06
RN-450-3,1432,4.25,298,4.64
RN-450-4,1569,5.94,298,4.4
RN-500-1,932,1.39,298,4.03
RN-500-2,1288,3.85,298,4.61
RN-500-3,1924,4.09,298,4.57
RN-500-4,2155,5.74,298,4.38
RK-450-3,704,1.07,298,3.36
GN,5,17.14,298,0.67
GN-600-1,821,12.17,298,3.99
GN-600-2,1267,11.93,298,4.24
GN-600-3,1398,11.67,298,4.02
GN-600-4,1412,11.23,298,3.93
GN-650-1,1734,9.24,298,4.26
GN-650-2,1960,8.56,298,4.23
GN-650-3,2167,7.23,298,4.21
GN-650-4,2016,6.85,298,4.07
GN-700-1,2394,6.94,298,3.92
GN-700-2,2659,6.72,298,3.71
GN-700-3,2655,6.43,298,3.51
GN-700-4,2470,6.2,298,3.42
LNAC-600,1305,7.98,298,3.89
LNAC-650,1991,5.53,298,3.43
