sample,SA,N5,temp,CO2ad
U/PC-0.5,2067,0.43,298,4.25
U/PC-1,1703,0.43,298,3.64
U/PC-2,775,0.82,298,2.72
U/PC-3,404,1.82,298,2
PC-550-3,1655,5.92,298,3.77
PC-600-1,1980,4.61,298,3.95
PC-600-2,2362,3.9,298,3.74
CS-650-2/3,904,4.18,298,3.56
CS-700-2/3,1506,2.3,298,4.4
CS-750-2/3,1771,1.23,298,4.21
RFC,724,0.77,298,2.82
RFC_C45,1611,0.9,298,4.41
RFC_N10,1458,1.34,298,4.54
MNSM,6,2.24,298,1.09
MNSM-650-2,1073,3.23,298,3.98
MNSM-650-3,1177,2.11,298,4.26
MNSM-700-2,1604,1.72,298,4.35
MNSM-750-2,1731,1.33,298,4.07
N1N40X50,533,2.47,298,1.99
N2.3N360F30,700,0.86,298,2.14
N0.8A80F50,747,1.71,298,2.27
N2.38A360F30,355,0.14,298,2.02
MFC-700-0.1,768,7.91,298,2.88
MFC-700-0.2,1658,6.22,298,3.3
MFC-750-0.2,1373,3.98,298,2.47
MFRC-600-1,596,9.01,298,2.86
MFRC-650-1,1591,6.45,298,3.52
MFRC-650-2,1525,5.99,298,3.1
NC-600-4,1604,0.41,298,4.3
NC-650-3,1535,0.43,298,4.8
NC-700-3,1596,0.39,298,4.7
NC-700-4,1937,0.2,298,4.4
UFC,0.39,10.46,298,0.71
UFC-550-2,760,10.51,298,3.04
UFC-600-3,1686,6.83,298,3.53
UFC-650-4,1651,4.45,298,2.82
UFK-600-0.2,865,11.22,298,2.82
UFK-600-0.3,895,10.6,298,2.78
UFK-650-0.3,950,9.69,298,2.71
EN-400-2,1270,1.89,298,2.73
EN-450-2,1920,1.62,298,3.14
EN-500-2,2270,1.01,298,2.78
WSM,5,4.42,298,1.02
WSM-550-1,1131,4.72,298,3.97
WSM-550-2,1535,3.24,298,4.22
WSM-550-3,2129,2.66,298,4.06
LNAC-600,1305,3.91,298,3.89
LNAC-650,1991,2.59,298,3.43
LNAC-700,1996,2.32,298,3.35
LNAC-750,2213,1.24,298,3.24
LNAC-800,978,0.63,298,2.82
N-AC-500-2,1152,5.73,298,3.9
N-AC-600-1,1173.8,4.11,298,3.71
N-AC-600-2,1504.8,4.38,298,4.58
N-AC-600-3,1684.4,4.48,298,4.34
N-AC-700-2,1702.2,3.23,298,4.14
SU-MAC-500,941,5.01,298,4.5
SU-MAC-600,1500,3.69,298,4.18
SU-MAC-800,2369,2.66,298,3.11
PFK-650-1.5,759,6.65,298,3.28
PFK-700-1.5,1757,4.93,298,4.03
PFK-750-1,2032,4.53,298,3.74
PFK-750-1.5,2292,2.78,298,3.1
HNP-600-2,1479,1.61,298,3.56
HNP-650-3,2363,0.68,298,4.13
HNP-700-2,1703,0.82,298,3.82
HNP-700-4,2532,0.4,298,3.22
NP-650-3,1755,0.46,298,4.26
CF-1,422,4.37,298,2.28
ACF-1,536,5.17,298,2.48
ACF-2,497,4.96,298,2.34
ACF-3,691,5.81,298,2.55
ACF-4,675,5.17,298,2.51
PAN-CNFs,25,2.2,298,1.98
0.8PAN/1.0PVP-CNFs,410,2.36,298,2.5
1.2PAN/0.6PEG-CNFs,484,2.05,298,2.2
A-NCs-600,1529,2.7,298,2
A-NCs-700,2209,2.36,298,3.1
A-NCs-800,3260,1.46,298,4.3
A-NCs-900,2734,0.92,298,3.6
PCF-400,383,9.33,298,1.57
PCF-450,398,8.58,298,2.16
PCF-500,486,6.8,298,2.25
PCF-N,49,13.08,298,0.66
