sample,SA,NQ,temp,CO2ad
U/PC-0.5,2067,0.08,273,6.57
U/PC-1,1703,0.16,273,5.6
U/PC-2,775,0.22,273,3.7
U/PC-3,404,0.27,273,2.59
CMPA1-C1000,977,0.44,273,4.3
CMPA2-C1000,292,0.55,273,4.8
CMPA3-C1000,800,0.37,273,5.1
RFC,724,0.13,273,3.81
RFC_C45,1611,0.07,273,6.86
RFC_N10,1458,0.21,273,7.14
MFC-700-0.1,768,0.92,273,4.25
MFC-700-0.2,1658,1.72,273,4.95
MFC-750-0.2,1373,1.51,273,3.79
NC-600-4,1604,0.11,273,6.7
NC-650-3,1535,0.19,273,7
NC-700-3,1596,0.09,273,7
NC-700-4,1937,0.09,273,6.8
EN-400-2,1270,0.36,273,4.27
EN-450-2,1920,0.47,273,5.17
EN-500-2,2270,0.34,273,4.66
LNAC-600,1305,0.77,273,6.43
LNAC-650,1991,0.61,273,6.74
LNAC-700,1996,0.29,273,5.99
LNAC-750,2213,0.1,273,6.13
LNAC-800,978,0.06,273,5.05
GMK-3-800,3247,1.1,273,8.03
GMK-2-800,2136,2.25,273,7.72
N-AC-600-1,1173.8,0.49,273,5.68
N-AC-600-2,1504.8,0.18,273,7.1
N-AC-600-3,1684.4,0.75,273,7.18
N-AC-700-2,1702.2,0.26,273,6.81
HNP-600-2,1479,0.42,273,5.05
HNP-650-3,2363,0.13,273,6.24
HNP-700-2,1703,0.43,273,5.91
HNP-700-4,2532,0.18,273,5.38
NP-650-3,1755,0.1,273,6.75
CF-1,422,2.42,273,3.13
ACF-1,536,0.58,273,3.21
ACF-2,497,0.75,273,3.17
ACF-3,691,0.8,273,3.39
ACF-4,675,1.75,273,3.57
